ToI,Name,Class_flag,Class,Carbon,Additional,ctp,Phot_status,Other_Name,Comments,Vmax,Av,Distance,Mv_calc,RV,Temperature,Type,RA,Dec,Location,Abundances,Inst/Res,Folder,Spectra_Type,Bluefile,Redfile,Alt_Bluefile,Alt_Redfile,Textfile,Extra_Monfile,RA_deg,Dec_deg,Gaia_RV,gaia_rv_err,known_RV,My_RV,parallax,p_err,pm_ra,pm_ra_err,pm_dec,pm_dec_err
124,J161156.23-575527.1,5,HdC5:,C2 5,,,unknown,,,,0.999,,,,,Cool,16:11:56.23,-57:55:27.1,Galactic,,WiFeS/3000,WISE_242.9843027_-57.9241960,normal,WISE_J161156.23-575527.1_June2012_Blue_225_unsmooth.fits,WISE_J161156.23-575527.1_June2012_Red_225_unsmooth.fits,,,,,242.9843027,-57.924196,,,,122.23,,,,,,
130,J163450.35-380218.5,,,-,,,unknown,IRAS_16314-3756,,,1.76,,,,,Cool,16:34:50.35,-38:02:18.5,Galactic,,WiFeS/3000,WISE_248.7098088_-38.0384979,normal,WISE_J163450.35-380218.5_July2012_Blue_216_unsmooth.fits,WISE_J163450.35-380218.5_July2012_Red_216_unsmooth.fits,,,,,248.7098088,-38.0384979,,,,-132.9,,,,,,
139,J164704.67-470817.8,2,HdC2:,-,H0.5 ,,unknown,,,,7.748,,,,,Warm,16:47:04.67,-47:08:17.8,Galactic,,WiFeS/3000,WISE_251.7694839_-47.1382800,normal,WISE_J164704.67-470817.8_July2013_Blue_1024_unsmooth.fits,WISE_J164704.67-470817.8_July2013_Red_1024_unsmooth.fits,,,,,251.7694839,-47.13828,,,,-45.08,,,,,,
148,J170343.87-385126.6,5,HdC5:,-,,,unknown,,noisy blue side,,9.604,,,,,Cool,17:03:43.87,-38:51:26.6,Galactic,,WiFeS/3000,WISE_255.9327917_-38.8574009,normal,WISE_J170343.87-385126.6_June2012_Blue_231_unsmooth.fits,WISE_J170343.87-385126.6_June2012_Red_231_unsmooth.fits,,,,,255.9327917,-38.8574009,,,,7.26,,,,,,
161,J171815.36-341339.9,,,,,,1.5 decline,,,,8.31,,,,,Cool,17:18:15.36,-34:13:39.9,Galactic,,WiFeS/3000,WISE_259.5640161_-34.2277623,picky,WISE_J171815.36-341339.9_July2012_Blue_115_unsmooth.fits,WISE_J171815.36-341339.9_July2012_Red_115_unsmooth.fits,,,,,259.5640161,-34.2277623,,,,-54.45,,,,,,
1220,J171908.50-435044.6,,,,,,unknown,,blue spectrum very noisy,,5.2,,,,,Cool,17:19:08.50,-43:50:44.6,Galactic,,WiFeS/3000,WISE_259.7854518_-43.8457265,picky,WISE_J171908.50-435044.6__T2m3wb-20220218.180530-0646.spectrum.p11.fits.gz,WISE_J171908.50-435044.6__T2m3wr-20220218.180530-0646.spectrum.p11.fits.gz,,,,,259.7854518,-43.8457265,,,,-152.43,,,,,,
169,J172447.52-290418.6,1,HdC1,C2 0.5,H1,ctp,max,,small halpha,,3.57,8.214,,,,Warm,17:24:47.52,-29:04:18.6,Galactic,,WiFeS/3000,WISE_261.1980033_-29.0718386,normal,WISE_J172447.52-290418.6_Aug2012_Blue_114_unsmooth.fits,WISE_J172447.52-290418.6_Aug2012_Red_114_unsmooth.fits,,,,,261.1980033,-29.0718386,,,,-87.96,0.122,0.019,-1.28,0.021,-4.996,0.014
171,J172553.80-312421.1,,,,,,2.8 decline,GLIMPSE-WISE-29,,,6.84,,,,,Warm/Cool,17:25:53.80,-31:24:21.1,Galactic,,WiFeS/3000,WISE_261.4741862_-31.4058768,normal,WISE_J172553.80-312421.1_T2m3wb_July2011_0216_unsmooth.fits,WISE_J172553.80-312421.1_T2m3wr_July2011_0216_unsmooth.fits,,,,,261.4741862,-31.4058768,,,,-113.12,,,,,,
174,J172951.80-101715.9,0,HdC0,C2 0,H1 Li:,,max,AC Ser,small halpha,,2.08,8.236,,,,Warm,17:29:51.80,-10:17:15.9,Galactic,,WiFeS/3000,WISE_262.4658601_-10.2877775,picky,WISE_J172951.80-101715.9__T2m3wb-20210924.095719-0029.spectrum.p11.fits,WISE_J172951.80-101715.9__T2m3wr-20210924.095719-0029.spectrum.p11.fits,,,,,262.4658601,-10.2877775,-95.34,2.13,,-75.7,0.121,0.017,-4.301,0.017,-7.372,0.012
1222,J173202.75-432906.1,8,HdC8:,C2 5,H0.5,,unknown,,,,1.233,,,,,Cool,17:32:02.75,-43:29:06.1,Galactic,,WiFeS/3000,WISE_263.0114680_-43.4850516,picky,WISE_J173202.75-432906.1__T2m3wb-20220718.142132-0335.spectrum.p11.fits,WISE_J173202.75-432906.1__T2m3wr-20220718.142132-0335.spectrum.p11.fits,,,,,263.011468,-43.4850516,,,,-81.84,,,,,,
